#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
5.823046e+00  -1.379302e+01  -7.458169e+00  -1.603405e+01
5.826000e+00  -1.441102e+01  -1.556357e+01  -1.540976e+01
5.828946e+00  -1.441102e+01  -7.465553e+00  -1.482970e+01
5.831882e+00  -1.556357e+01  -1.513077e+01  -1.805086e+01
5.834811e+00  -1.399684e+01  -7.469514e+00  -1.475290e+01
5.837730e+00  -1.388974e+01  -1.475290e+01  -1.603405e+01
5.840642e+00  -1.441102e+01  -7.476151e+00  -1.482970e+01
5.843544e+00  -1.634351e+01  -1.634351e+01  -1.805086e+01
5.846439e+00  -1.370483e+01  -7.483335e+00  -1.556357e+01
5.849325e+00  -1.425312e+01  -1.603405e+01  -1.482970e+01
5.852202e+00  -1.411679e+01  -7.486526e+00  -1.805086e+01
5.855072e+00  -1.425312e+01  -1.407841e+01  -1.603405e+01
5.857933e+00  -1.388974e+01  -7.493615e+00  -1.513077e+01
5.860786e+00  -1.482970e+01  -1.513077e+01  -1.475290e+01
5.863631e+00  -1.556357e+01  -7.498710e+00  -1.540976e+01
5.866468e+00  -1.459860e+01  -1.805086e+01  -1.540976e+01
5.869297e+00  -1.370483e+01  -7.504859e+00  -1.634351e+01
5.872118e+00  -1.441102e+01  -1.540976e+01  -1.475290e+01
5.874931e+00  -1.634351e+01  -7.510528e+00  -1.603405e+01
5.877736e+00  -1.425312e+01  -1.420925e+01  -1.502834e+01
5.880533e+00  -1.411679e+01  -7.515883e+00  -1.502834e+01
5.883322e+00  -1.388974e+01  -1.513077e+01  -1.634351e+01
5.886104e+00  -1.411679e+01  -7.521268e+00  -1.540976e+01
5.888878e+00  -1.459860e+01  -1.459860e+01  -1.634351e+01
5.891644e+00  -1.634351e+01  -7.527732e+00  -1.482970e+01
5.894403e+00  -1.441102e+01  -1.603405e+01  -1.502834e+01
5.897154e+00  -1.399684e+01  -7.533004e+00  -1.540976e+01
5.899897e+00  -1.362379e+01  -1.603405e+01  -1.420925e+01
5.902633e+00  -1.411679e+01  -7.538482e+00  -1.805086e+01
5.905362e+00  -1.459860e+01  -1.411679e+01  -1.502834e+01
5.908083e+00  -1.411679e+01  -7.544167e+00  -1.459860e+01
5.910797e+00  -1.425312e+01  -1.453718e+01  -1.540976e+01
5.913503e+00  -1.634351e+01  -7.548453e+00  -1.435983e+01
5.916202e+00  -1.459860e+01  -1.556357e+01  -1.379302e+01
5.918894e+00  -1.411679e+01  -7.554016e+00  -1.420925e+01
5.921578e+00  -1.634351e+01  -1.441102e+01  -1.441102e+01
5.924256e+00  -1.379302e+01  -7.560153e+00  -1.459860e+01
5.926926e+00  -1.513077e+01  -1.435983e+01  -1.540976e+01
5.929589e+00  -1.805086e+01  -7.565964e+00  -1.388974e+01
5.932245e+00  -1.441102e+01  -1.399684e+01  -1.603405e+01
5.934894e+00  -1.425312e+01  -7.570710e+00  -1.407841e+01
5.937536e+00  -1.603405e+01  -1.805086e+01  -1.805086e+01
5.940171e+00  -1.482970e+01  -7.576030e+00  -1.634351e+01
5.942799e+00  -1.556357e+01  -1.453718e+01  -1.370483e+01
5.945421e+00  -1.388974e+01  -7.581749e+00  -1.513077e+01
5.948035e+00  -1.441102e+01  -1.603405e+01  -1.603405e+01
5.950643e+00  -1.441102e+01  -7.588245e+00  -1.634351e+01
5.953243e+00  -1.425312e+01  -1.475290e+01  -1.556357e+01
5.955837e+00  -1.441102e+01  -7.591416e+00  -1.459860e+01
5.958425e+00  -1.459860e+01  -1.556357e+01  -1.482970e+01
5.961005e+00  -1.441102e+01  -7.596660e+00  -1.540976e+01
5.963579e+00  -1.411679e+01  -1.502834e+01  -1.482970e+01
5.966147e+00  -1.513077e+01  -7.602688e+00  -1.556357e+01
5.968708e+00  -1.634351e+01  -1.435983e+01  -1.459860e+01
5.971262e+00  -1.425312e+01  -7.607422e+00  -1.411679e+01
5.973810e+00  -1.513077e+01  -1.475290e+01  -1.459860e+01
5.976351e+00  -1.441102e+01  -7.612179e+00  -1.513077e+01
5.978886e+00  -1.379302e+01  -1.459860e+01  -1.513077e+01
5.981414e+00  -1.411679e+01  -7.618109e+00  -1.482970e+01
5.983936e+00  -1.513077e+01  -1.634351e+01  -1.603405e+01
