#  N   Simpsons     Milne      GSL_QAG_31  
#-----------------------------------------
1381  1.146090e-10  7.350615e-15  7.067899e-16
1385  1.132784e-10  7.633331e-15  7.067899e-16
1389  1.119838e-10  1.413580e-15  7.067899e-16
1393  1.107032e-10  2.827160e-15  7.067899e-16
1397  1.094353e-10  5.088887e-15  7.067899e-16
1401  1.082028e-10  5.795677e-15  7.067899e-16
1405  1.069705e-10  0.000000e+00  7.067899e-16
1409  1.057503e-10  2.685802e-15  7.067899e-16
1413  1.045622e-10  6.219751e-15  7.067899e-16
1417  1.033867e-10  7.067899e-15  7.067899e-16
1421  1.022314e-10  2.827160e-15  7.067899e-16
1425  1.010830e-10  4.240740e-16  7.067899e-16
1429  9.994632e-11  7.633331e-15  7.067899e-16
1433  9.884457e-11  1.554938e-15  7.067899e-16
1437  9.775258e-11  6.361109e-15  7.067899e-16
1441  9.666045e-11  4.806172e-15  7.067899e-16
1445  9.559291e-11  1.130864e-14  7.067899e-16
1449  9.454333e-11  1.413580e-15  7.067899e-16
1453  9.349700e-11  7.633331e-15  7.067899e-16
1457  9.248403e-11  5.795677e-15  7.067899e-16
1461  9.147841e-11  1.413580e-16  7.067899e-16
1465  9.047858e-11  2.261728e-15  7.067899e-16
1469  8.949190e-11  3.533950e-15  7.067899e-16
1473  8.852940e-11  3.533950e-15  7.067899e-16
1477  8.757777e-11  2.403086e-15  7.067899e-16
1481  8.662262e-11  3.109876e-15  7.067899e-16
1485  8.569065e-11  9.046911e-15  7.067899e-16
1489  8.477931e-11  5.654319e-16  7.067899e-16
1493  8.387688e-11  2.827160e-16  7.067899e-16
1497  8.298562e-11  2.403086e-15  7.067899e-16
1501  8.210637e-11  3.958024e-15  7.067899e-16
1505  8.123137e-11  2.685802e-15  7.067899e-16
1509  8.037290e-11  3.251234e-15  7.067899e-16
1513  7.952207e-11  2.685802e-15  7.067899e-16
1517  7.869456e-11  9.329627e-15  7.067899e-16
1521  7.785871e-11  8.057405e-15  7.067899e-16
1525  7.704901e-11  1.272222e-15  7.067899e-16
1529  7.624638e-11  3.251234e-15  7.067899e-16
1533  7.545562e-11  7.067899e-16  7.067899e-16
1537  7.467617e-11  3.392592e-15  7.067899e-16
1541  7.388881e-11  6.502467e-15  7.067899e-16
1545  7.312364e-11  8.340121e-15  7.067899e-16
1549  7.238448e-11  1.554938e-15  7.067899e-16
1553  7.163387e-11  4.947530e-15  7.067899e-16
1557  7.089485e-11  5.937035e-15  7.067899e-16
1561  7.018353e-11  1.130864e-15  7.067899e-16
1565  6.946218e-11  2.827160e-16  7.067899e-16
