# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=20, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t))                TE 
10.7900  2.537486293814424e-12  -5.634331401623720e-12  1.587284517166156e-23    1.270975418926225e-22  5.000000000000000e-01
10.8000  2.481763909741446e-12  -5.510603293566134e-12  1.518337432953096e-23    1.215767894192168e-22  5.000000000000000e-01
10.8100  2.427265171326909e-12  -5.389592215024969e-12  1.452385212212888e-23    1.162958425897187e-22  5.000000000000000e-01
10.8200  2.373963207705137e-12  -5.271238500904646e-12  1.389297766670973e-23    1.112442849351544e-22  5.000000000000000e-01
10.8300  2.321831738086040e-12  -5.155483796335924e-12  1.328950658714113e-23    1.064121524480694e-22  5.000000000000000e-01
10.8400  2.270845058797234e-12  -5.042271027903744e-12  1.271224855941874e-23    1.017899139288979e-22  5.000000000000000e-01
10.8500  2.220978030610725e-12  -4.931544375506919e-12  1.216006496379697e-23    9.736845218603062e-23  5.000000000000000e-01
10.8600  2.172206066347896e-12  -4.823249244835753e-12  1.163186663890433e-23    9.313904605249698e-23  5.000000000000000e-01
10.8700  2.124505118756673e-12  -4.717332240454058e-12  1.112661173341365e-23    8.909335318379162e-23  5.000000000000000e-01
10.8800  2.077851668654915e-12  -4.613741139472275e-12  1.064330365102946e-23    8.522339360291350e-23  5.000000000000000e-01
10.8900  2.032222713334169e-12  -4.512424865798730e-12  1.018098908473934e-23    8.152153396016134e-23  5.000000000000000e-01
10.9000  1.987595755218069e-12  -4.413333464956319e-12  9.738756136451674e-24    7.798047247663867e-23  5.000000000000000e-01
10.9100  1.943948790769803e-12  -4.316418079452210e-12  9.315732518310954e-24    7.459322454176945e-23  5.000000000000000e-01
10.9200  1.901260299643161e-12  -4.221630924688423e-12  8.911083832142816e-24    7.135310893641662e-23  5.000000000000000e-01
10.9300  1.859509234071821e-12  -4.128925265401402e-12  8.524011923635020e-24    6.825373465442849e-23  5.000000000000000e-01
10.9400  1.818675008491655e-12  -4.038255392618970e-12  8.153753308008097e-24    6.528898829661965e-23  5.000000000000000e-01
10.9500  1.778737489390908e-12  -3.949576601123303e-12  7.799577664070350e-24    6.245302201232100e-23  5.000000000000000e-01
10.9600  1.739676985383278e-12  -3.862845167408795e-12  7.460786393686740e-24    5.974024196471420e-23  5.000000000000000e-01
10.9700  1.701474237498983e-12  -3.778018328123988e-12  7.136711243820388e-24    5.714529729719904e-23  5.000000000000000e-01
10.9800  1.664110409689032e-12  -3.695054258986885e-12  6.826712988428558e-24    5.466306957903007e-23  5.000000000000000e-01
